x,y,z
-135.218,51.121,0.0
-130.954,48.839,0.0
-127.926,45.082,0.0
-126.432,40.474,0.0
-126.011,35.636,0.0
-126.22,30.781,0.0
-126.806,25.956,0.0
-127.632,21.166,0.0
-128.618,16.405,0.0
-129.712,11.668,0.0
-130.881,6.95,0.0
-132.102,2.244,0.0
-133.358,-2.453,0.0
-134.635,-7.143,0.0
-135.922,-11.832,0.0
-137.207,-16.52,0.0
-138.483,-21.211,0.0
-139.741,-25.907,0.0
-140.974,-30.61,0.0
-142.179,-35.32,0.0
-143.352,-40.038,0.0
-144.491,-44.764,0.0
-145.598,-49.498,0.0
-146.674,-54.239,0.0
-147.722,-58.986,0.0
-148.747,-63.738,0.0
-149.751,-68.495,0.0
-150.74,-73.255,0.0
-151.717,-78.017,0.0
-152.685,-82.781,0.0
