record_type,id,edge_id,seq,from_node,to_node,x,y,z,s_local,s_route,road_width,next_edge_ids,prev_edge_ids,is_route,is_goal,route_edge_ids,goal_edge_id,goal_x,goal_y,name,value,text
meta,,,,,,,,,,,,,,,,,,,,source,map_gen3_csv_customroad3_yfork,
meta,,,,,,,,,,,,,,,,,,,,description,,MATLAB/Isaac CustomRoad3 Y-fork map exported as single CSV: entry straight + lower decoy branch + upper target branch
meta,,,,,,,,,,,,,,,,,,,,coordinate_conversion,,"MATLAB [x,y] = Isaac [y,x], shifted so start is [0,0]"
meta,,,,,,,,,,,,,,,,,,,,car_width,0.21,
meta,,,,,,,,,,,,,,,,,,,,road_width,0.672,
meta,,,,,,,,,,,,,,,,,,,,straight_len,1.2,
meta,,,,,,,,,,,,,,,,,,,,fork_len,2.3,
meta,,,,,,,,,,,,,,,,,,,,total_len,3.5,
meta,,,,,,,,,,,,,,,,,,,,offset_x_isaac,-1.75,
meta,,,,,,,,,,,,,,,,,,,,offset_y_isaac,-3.2,
meta,,,,,,,,,,,,,,,,,,,,fork_center_y_isaac,1.22181818181818,
meta,,,,,,,,,,,,,,,,,,,,xy_swapped,true,
route,,,,,,,,,,,,,,,,1|3,3,1.22181818181818,3.5,target_route_upper_branch,,
node,1,,,,,0,0,0,,,,,,,,,,,,,,
node,2,,,,,0,1.2,0,,,,,,,,,,,,,,
node,3,,,,,-1.22181818181818,3.5,0,,,,,,,,,,,,,,
node,4,,,,,1.22181818181818,3.5,0,,,,,,,,,,,,,,
edge,1,1,,1,2,,,,,,0.672,2|3,,1,0,,,,,entry_stem,,
edge,2,2,,2,3,,,,,,0.672,,1,0,0,,,,,lower_decoy_branch,,
edge,3,3,,2,4,,,,,,0.672,,1,1,1,,,,,upper_target_branch,,
edge_point,,1,0,,,0,0,0,0,,0.672,,,,,,,,,entry_stem,,
edge_point,,1,1,,,0,1.2,0,1.2,,0.672,,,,,,,,,entry_stem,,
edge_point,,2,0,,,0,1.2,0,0,,0.672,,,,,,,,,lower_decoy_branch,,
edge_point,,2,1,,,-0.4032,1.959,0,0.859448218335462,,0.672,,,,,,,,,lower_decoy_branch,,
edge_point,,2,2,,,-0.8064,2.718,0,1.71889643667092,,0.672,,,,,,,,,lower_decoy_branch,,
edge_point,,2,3,,,-1.22181818181818,3.5,0,2.60438854041049,,0.672,,,,,,,,,lower_decoy_branch,,
edge_point,,3,0,,,0,1.2,0,0,,0.672,,,,,,,,,upper_target_branch,,
edge_point,,3,1,,,0.4032,1.959,0,0.859448218335462,,0.672,,,,,,,,,upper_target_branch,,
edge_point,,3,2,,,0.8064,2.718,0,1.71889643667092,,0.672,,,,,,,,,upper_target_branch,,
edge_point,,3,3,,,1.22181818181818,3.5,0,2.60438854041049,,0.672,,,,,,,,,upper_target_branch,,
waypoint,0,1,0,,,0,0,0,,0,,,,1,,,,,,,,
waypoint,1,1,1,,,0,1.2,0,,1.2,,,,1,,,,,,,,
waypoint,2,3,2,,,0.4032,1.959,0,,2.05944821833546,,,,1,,,,,,,,
waypoint,3,3,3,,,0.8064,2.718,0,,2.91889643667092,,,,1,,,,,,,,
waypoint,4,3,4,,,1.22181818181818,3.5,0,,3.80438854041049,,,,1,,,,,,,,
