index,x_m,y_m,z_m,yaw_rad,s_m,v_ref_mps
0,-0.400000,-0.920000,0.000000,1.570796327,0.000000,0.250000
1,-0.400000,-0.870000,0.000000,1.570796327,0.050000,0.250000
2,-0.400000,-0.820000,0.000000,1.570796327,0.100000,0.250000
3,-0.400000,-0.770000,0.000000,1.570796327,0.150000,0.250000
4,-0.400000,-0.720000,0.000000,1.570796327,0.200000,0.250000
5,-0.400000,-0.670000,0.000000,1.570796327,0.250000,0.250000
6,-0.400000,-0.620000,0.000000,1.570796327,0.300000,0.250000
7,-0.400000,-0.570000,0.000000,1.570796327,0.350000,0.250000
8,-0.400000,-0.520000,0.000000,1.570796327,0.400000,0.250000
9,-0.400000,-0.470000,0.000000,1.570796327,0.450000,0.250000
10,-0.400000,-0.420000,0.000000,1.570796327,0.500000,0.250000
11,-0.400000,-0.370000,0.000000,1.570796327,0.550000,0.250000
12,-0.400000,-0.320000,0.000000,1.570796327,0.600000,0.250000
13,-0.400000,-0.270000,0.000000,1.570796327,0.650000,0.250000
14,-0.400000,-0.220000,0.000000,1.570796327,0.700000,0.250000
15,-0.400000,-0.170000,0.000000,1.570796327,0.750000,0.250000
16,-0.400000,-0.120000,0.000000,1.570796327,0.800000,0.250000
17,-0.400000,-0.070000,0.000000,1.570796327,0.850000,0.250000
18,-0.400000,-0.020000,0.000000,1.570796327,0.900000,0.250000
19,-0.400000,0.030000,0.000000,1.570796327,0.950000,0.250000
20,-0.400000,0.080000,0.000000,1.570796327,1.000000,0.250000
21,-0.400000,0.130000,0.000000,1.570796327,1.050000,0.250000
22,-0.400000,0.180000,0.000000,1.570796327,1.100000,0.250000
23,-0.400000,0.230000,0.000000,1.570796327,1.150000,0.250000
24,-0.400000,0.280000,0.000000,1.570796327,1.200000,0.250000
25,-0.400000,0.330000,0.000000,1.570796327,1.250000,0.250000
26,-0.400000,0.380000,0.000000,1.570796327,1.300000,0.250000
27,-0.400000,0.430000,0.000000,1.570796327,1.350000,0.250000
28,-0.400000,0.480000,0.000000,1.570796327,1.400000,0.250000
29,-0.400000,0.530000,0.000000,1.570796327,1.450000,0.250000
30,-0.400000,0.580000,0.000000,1.570796327,1.500000,0.250000
31,-0.400000,0.630000,0.000000,1.570796327,1.550000,0.250000
32,-0.400000,0.680000,0.000000,1.570796327,1.600000,0.250000
33,-0.400000,0.730000,0.000000,1.570796327,1.650000,0.250000
34,-0.400000,0.780000,0.000000,1.570796327,1.700000,0.250000
35,-0.400000,0.830000,0.000000,1.570796327,1.750000,0.250000
36,-0.400000,0.880000,0.000000,1.570796327,1.800000,0.250000
37,-0.400000,0.930000,0.000000,1.570796327,1.850000,0.250000
38,-0.400000,0.980000,0.000000,1.570796327,1.900000,0.250000
39,-0.400000,1.030000,0.000000,1.570796327,1.950000,0.250000
40,-0.400000,1.080000,0.000000,1.570796327,2.000000,0.250000
