record_type,id,edge_id,seq,from_node,to_node,x,y,z,s_local,s_route,road_width,next_edge_ids,prev_edge_ids,is_route,is_goal,route_edge_ids,goal_edge_id,goal_x,goal_y,name,value,text
meta,,,,,,,,,,,,,,,,,,,,source,map_gen3_csv_from_uploaded_code,
meta,,,,,,,,,,,,,,,,,,,,description,,Isaac waypoint fork map exported as single CSV: entry straight + lower decoy branch + upper target branch
meta,,,,,,,,,,,,,,,,,,,,wp_scale,1,
meta,,,,,,,,,,,,,,,,,,,,road_width,0.5,
meta,,,,,,,,,,,,,,,,,,,,xy_swapped,true,
route,,,,,,,,,,,,,,,,1|3,3,-0.763636363636364,3.0,target_route_upper_branch,,
node,1,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
node,2,,,,,0.0,0.7,0.0,,,,,,,,,,,,,,
node,3,,,,,-0.763636363636364,3.0,0.0,,,,,,,,,,,,,,
node,4,,,,,0.763636363636364,3.0,0.0,,,,,,,,,,,,,,
edge,1,1,,1,2,,,,,,0.5,2|3,,1,0,,,,,entry_straight,,
edge,2,2,,2,3,,,,,,0.5,,1,0,0,,,,,lower_decoy_branch,,
edge,3,3,,2,4,,,,,,0.5,,1,1,1,,,,,upper_target_branch,,
edge_point,,1,0,,,0.0,0.0,0.0,0.0,,0.5,,,,,,,,,entry_straight,,
edge_point,,1,1,,,0.0,0.7,0.0,0.7,,0.5,,,,,,,,,entry_straight,,
edge_point,,2,0,,,0.0,0.7,0.0,0.0,,0.5,,,,,,,,,lower_decoy_branch,,
edge_point,,2,1,,,0.334090909090909,1.2307692307692308,0.0,0.6271624286168226,,0.5,,,,,,,,,lower_decoy_branch,,
edge_point,,2,2,,,0.477272727272727,2.1153846153846154,0.0,1.5232904394255886,,0.5,,,,,,,,,lower_decoy_branch,,
edge_point,,2,3,,,0.763636363636364,3.0,0.0,2.4531014476039337,,0.5,,,,,,,,,lower_decoy_branch,,
edge_point,,3,0,,,0.0,0.7,0.0,0.0,,0.5,,,,,,,,,upper_target_branch,,
edge_point,,3,1,,,-0.334090909090909,1.2307692307692308,0.0,0.6271624286168226,,0.5,,,,,,,,,upper_target_branch,,
edge_point,,3,2,,,-0.477272727272727,2.1153846153846154,0.0,1.5232904394255886,,0.5,,,,,,,,,upper_target_branch,,
edge_point,,3,3,,,-0.763636363636364,3.0,0.0,2.4531014476039337,,0.5,,,,,,,,,upper_target_branch,,
waypoint,0,1,0,,,0.0,0.0,0.0,,0.0,,,,1,,,,,,,,
waypoint,1,1,1,,,0.0,0.7,0.0,,0.7,,,,1,,,,,,,,
waypoint,2,3,2,,,-0.334090909090909,1.2307692307692308,0.0,,1.3271624286168224,,,,1,,,,,,,,
waypoint,3,3,3,,,-0.477272727272727,2.1153846153846154,0.0,,2.223290439425589,,,,1,,,,,,,,
waypoint,4,3,4,,,-0.763636363636364,3.0,0.0,,3.153101447603934,,,,1,,,,,,,,
